country,year,pop,continent,lifeExp,gdpPercap
Austria,1987,7578903.0,Europe,74.94,23687.82607
Austria,1992,7914969.0,Europe,76.04,27042.01868
Austria,1997,8069876.0,Europe,77.51,29095.92066
Austria,2002,8148312.0,Europe,78.98,32417.60769
Austria,2007,8199783.0,Europe,79.829,36126.4927
Austria,2012,8356353.0,Europe,80.968,37785.51642
Austria,2017,8475284.0,Europe,82.178,40458.377981
Austria,2022,8594216.0,Europe,83.388,43131.239541
Austria,2025,8665575.0,Europe,84.114,44734.956477
Bahrain,1952,120447.0,Asia,50.939,9867.084765
Bahrain,1957,138655.0,Asia,53.832,11635.79945
Bahrain,1962,171863.0,Asia,56.923,12753.27514
Bahrain,1967,202182.0,Asia,59.923,14804.6727
Bahrain,1972,230800.0,Asia,63.3,18268.65839
Bahrain,1977,297410.0,Asia,65.593,19340.10196
Bahrain,1982,377967.0,Asia,69.052,19211.14731
Bahrain,1987,454612.0,Asia,70.75,18524.02406
Bahrain,1992,529491.0,Asia,72.601,19035.57917
Bahrain,1997,598561.0,Asia,73.925,20292.01679
Bahrain,2002,656397.0,Asia,74.795,23403.55927
Bahrain,2007,708573.0,Asia,75.635,29796.04834
Bahrain,2012,749015.0,Asia,80.8,27161.557217
Bahrain,2017,806723.0,Asia,83.137,28559.079259
Bahrain,2022,864431.0,Asia,85.475,29956.601301
Bahrain,2025,899055.0,Asia,86.877,30795.114526
Bangladesh,1952,46886859.0,Asia,37.484,684.2441716
Bangladesh,1957,51365468.0,Asia,39.348,661.6374577
Bangladesh,1962,56839289.0,Asia,41.216,686.3415538
Bangladesh,1967,62821884.0,Asia,43.453,721.1860862
Bangladesh,1972,70759295.0,Asia,45.252,630.2336265
Bangladesh,1977,80428306.0,Asia,46.923,659.8772322
Bangladesh,1982,93074406.0,Asia,50.009,676.9818656
Bangladesh,1987,103764241.0,Asia,52.819,751.9794035
Bangladesh,1992,113704579.0,Asia,56.018,837.8101643
Bangladesh,1997,123315288.0,Asia,59.412,972.7700352
Bangladesh,2002,135656790.0,Asia,62.013,1136.39043
Bangladesh,2007,150448339.0,Asia,64.062,1391.253792
Bangladesh,2012,152782772.0,Asia,66.023,1158.93028
Bangladesh,2017,162325445.0,Asia,68.514,1211.448966
Bangladesh,2022,171868118.0,Asia,71.005,1263.967652
Bangladesh,2025,177593723.0,Asia,72.499,1295.478864
Belgium,1952,8730405.0,Europe,68.0,8343.105127
Belgium,1957,8989111.0,Europe,69.24,9714.960623
Belgium,1962,9218400.0,Europe,70.25,10991.20676
Belgium,1967,9556500.0,Europe,70.94,13149.04119
Belgium,1972,9709100.0,Europe,71.44,16672.14356
Belgium,1977,9821800.0,Europe,72.8,19117.97448
Belgium,1982,9856303.0,Europe,73.93,20979.84589
Belgium,1987,9870200.0,Europe,75.35,22525.56308
Belgium,1992,10045622.0,Europe,76.46,25575.57069
Belgium,1997,10199787.0,Europe,77.53,27561.19663
Belgium,2002,10311970.0,Europe,78.32,30485.88375
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Belgium,2007,10392226.0,Europe,79.441,33692.60508
Belgium,2012,10608256.0,Europe,80.45,35242.960276
Belgium,2017,10745138.0,Europe,81.497,37593.04612
Belgium,2022,10882020.0,Europe,82.544,39943.131964
Belgium,2025,10964149.0,Europe,83.172,41353.18347
Benin,1952,1738315.0,Africa,38.223,1062.7522
Benin,1957,1925173.0,Africa,40.358,959.6010805
Benin,1962,2151895.0,Africa,42.618,949.4990641
Benin,1967,2427334.0,Africa,44.885,1035.831411
Benin,1972,2761407.0,Africa,47.014,1085.796879
Benin,1977,3168267.0,Africa,49.19,1029.161251
Benin,1982,3641603.0,Africa,50.904,1277.897616
Benin,1987,4243788.0,Africa,52.337,1225.85601
Benin,1992,4981671.0,Africa,53.919,1191.207681
Benin,1997,6066080.0,Africa,54.777,1232.975292
Benin,2002,7026113.0,Africa,54.406,1372.877931
Benin,2007,8078314.0,Africa,56.728,1441.284873
Benin,2012,7670676.0,Africa,59.642,1412.519647
Benin,2017,8232704.0,Africa,61.314,1452.077269
Benin,2022,8794731.0,Africa,62.985,1491.63489
Benin,2025,9131948.0,Africa,63.988,1515.369463
Bolivia,1952,2883315.0,Americas,40.414,2677.326347
Bolivia,1957,3211738.0,Americas,41.89,2127.686326
Bolivia,1962,3593918.0,Americas,43.428,2180.972546
Bolivia,1967,4040665.0,Americas,45.032,2586.886053
Bolivia,1972,4565872.0,Americas,46.714,2980.331339
Bolivia,1977,5079716.0,Americas,50.023,3548.097832
Bolivia,1982,5642224.0,Americas,53.859,3156.510452
Bolivia,1987,6156369.0,Americas,57.251,2753.69149
Bolivia,1987,6156369.0,Americas,57.251,2753.69149
Bolivia,1992,6893451.0,Americas,59.957,2961.699694
Bolivia,1992,6893451.0,Americas,59.957,2961.699694
Bolivia,1997,7693188.0,Americas,62.05,3326.143191
Bolivia,1997,7693188.0,Americas,62.05,3326.143191
Bolivia,2002,8445134.0,Americas,63.883,3413.26269
Bolivia,2002,8445134.0,Americas,63.883,3413.26269
Bolivia,2007,9119152.0,Americas,65.554,3822.137084
Bolivia,2007,9119152.0,Americas,65.554,3822.137084
Bolivia,2012,9414223.0,Americas,68.938,3680.934835
Bolivia,2017,9999275.0,Americas,71.445,3796.67906
Bolivia,2022,10584326.0,Americas,73.953,3912.423286
Bolivia,2025,10935357.0,Americas,75.457,3981.869822
Bosnia and Herzegovina,1952,2791000.0,Europe,53.82,973.5331948
Bosnia and Herzegovina,1957,3076000.0,Europe,58.45,1353.989176
Bosnia and Herzegovina,1962,3349000.0,Europe,61.93,1709.683679
Bosnia and Herzegovina,1967,3585000.0,Europe,64.79,2172.352423
Bosnia and Herzegovina,1972,3819000.0,Europe,67.45,2860.16975
Bosnia and Herzegovina,1977,4086000.0,Europe,69.86,3528.481305
Bosnia and Herzegovina,1982,4172693.0,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977.0,Europe,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013.0,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000.0,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416.0,Europe,74.09,6018.9752397
Bosnia and Herzegovina,2007,4552198.0,Europe,74.852,7446.298803
Bosnia and Herzegovina,2012,4634379.0,Europe,79.075,6698.736202
Bosnia and Herzegovina,2017,4760203.0,Europe,80.824,7193.191145
Bosnia and Herzegovina,2022,4886027.0,Europe,82.572,7687.646089
Bosnia and Herzegovina,2025,4961521.0,Europe,83.622,7984.319055
Botswana,1952,442308.0,Africa,47.622,851.2411407
Botswana,1957,474639.0,Africa,49.618,918.2325349
Botswana,1962,512764.0,Africa,51.52,983.6539764
Botswana,1967,553541.0,Africa,53.298,1214.709294
Botswana,1972,619351.0,Africa,56.024,2263.611114
Botswana,1977,781472.0,Africa,59.319,3214.857818
Botswana,1982,970347.0,Africa,61.484,4551.14215
Botswana,1987,1151184.0,Africa,63.622,6205.88385
Botswana,1992,1342614.0,Africa,62.745,7954.111645
Botswana,1997,1536536.0,Africa,52.556,8647.142313
Botswana,2002,1630347.0,Africa,46.634,11003.60508
Botswana,2007,1639131.0,Africa,50.728,12569.85177
Botswana,2012,1799880.0,Africa,56.569,12308.26725
Botswana,2017,1927372.0,Africa,56.873,13427.769356
Botswana,2022,2054863.0,Africa,57.176,14547.271463
Botswana,2025,2131358.0,Africa,57.358,15218.972727
Brazil,1952,56602560.0,Americas,50.917,2108.944355
Brazil,1957,65551171.0,Americas,53.285,2487.365989
Brazil,1962,76039390.0,Americas,55.665,3336.585802
Brazil,1967,88049823.0,Americas,57.632,3429.864357
Brazil,1972,100840058.0,Americas,59.504,4985.711467
Brazil,1977,114313951.0,Americas,61.489,6660.118654
Brazil,1982,128962939.0,Americas,63.336,7030.835878
Brazil,1987,142938076.0,Americas,65.205,7807.095818
Brazil,1992,155975974.0,Americas,67.057,6950.283021
Brazil,1997,168546719.0,Americas,69.388,7957.980824
Brazil,2002,179914212.0,Americas,71.006,8131.212843
Brazil,2007,190010647.0,Americas,72.39,9065.800825
Brazil,2012,204695795.0,Americas,74.917,10059.016007
Brazil,2017,217370206.0,Americas,76.868,10709.738985
Brazil,2022,230044616.0,Americas,78.818,11360.461963
Brazil,2025,237649262.0,Americas,79.989,11750.895749
Bulgaria,1952,7274900.0,Europe,59.6,2444.286648
Bulgaria,1957,7651254.0,Europe,66.61,3008.670727
Bulgaria,1962,8012946.0,Europe,69.51,4254.337839
Bulgaria,1967,8310226.0,Europe,70.42,5577.0028
Bulgaria,1972,8576200.0,Europe,70.9,6597.494398
Bulgaria,1977,8797022.0,Europe,70.81,7612.240438
Bulgaria,1982,8892098.0,Europe,71.08,8224.191647
Bulgaria,1987,8971958.0,Europe,71.34,8239.854824
Bulgaria,1992,8658506.0,Europe,71.19,6302.623438
Bulgaria,1997,8066057.0,Europe,70.32,5970.38876
Bulgaria,2002,7661799.0,Europe,72.14,7696.777725
Bulgaria,2007,7322858.0,Europe,73.005,10680.79282
Bulgaria,2012,8274302.0,Europe,74.479,9883.464786
Bulgaria,2017,8288351.0,Europe,75.207,10421.835495
Bulgaria,2022,8302400.0,Europe,75.936,10960.206205
Bulgaria,2025,8310829.0,Europe,76.373,11283.228631
Burkina Faso,1952,4469979.0,Africa,31.975,543.2552413
Burkina Faso,1957,4713416.0,Africa,34.906,617.1834648
Burkina Faso,1962,4919632.0,Africa,37.814,722.5120206
Burkina Faso,1967,5127935.0,Africa,40.697,794.8265597
Burkina Faso,1972,5433886.0,Africa,43.591,854.7359763
Burkina Faso,1977,5889574.0,Africa,46.137,743.3870368
Burkina Faso,1982,6634596.0,Africa,48.122,807.1985855
Burkina Faso,1987,7586551.0,Africa,49.557,912.0631417
Burkina Faso,1987,7586551.0,Africa,49.557,912.0631417
Burkina Faso,1992,8878303.0,Africa,50.26,931.7527731
Burkina Faso,1997,10352843.0,Africa,50.324,946.2949618
Burkina Faso,2002,12251209.0,Africa,50.65,1037.645221
Burkina Faso,2007,14326203.0,Africa,52.295,1217.032994
Burkina Faso,2012,12840328.0,Africa,56.817,1154.450579
Burkina Faso,2017,13668684.0,Africa,58.657,1202.256681
Burkina Faso,2022,14497041.0,Africa,60.498,1250.062782
Burkina Faso,2025,14994054.0,Africa,61.602,1278.746443
Burundi,1952,2445618.0,Africa,39.031,339.2964587
Burundi,1957,2667518.0,Africa,40.533,379.5646281
Burundi,1962,2961915.0,Africa,42.045,355.2032273
Burundi,1967,3330989.0,Africa,43.548,412.9775136
Burundi,1972,3529983.0,Africa,44.057,464.0995039
Burundi,1977,3834415.0,Africa,45.91,556.1032651
Burundi,1982,4580410.0,Africa,47.471,559.603231
Burundi,1987,5126023.0,Africa,48.211,621.8188189
Burundi,1992,5809236.0,Africa,44.736,631.6998778
Burundi,1997,6121610.0,Africa,45.326,463.1151478
Burundi,2002,7021078.0,Africa,47.36,446.4035126
Burundi,2007,8390505.0,Africa,49.58,430.0706916
Burundi,2012,7938404.0,Africa,49.827,560.883892
Burundi,2017,8444064.0,Africa,50.597,574.610185
Burundi,2022,8949725.0,Africa,51.368,588.336477
Burundi,2025,9253122.0,Africa,51.83,596.572253
Cambodia,1952,4693836.0,Asia,39.417,368.4692856
Cambodia,1957,5322536.0,Asia,41.366,434.0383364
Cambodia,1962,6083619.0,Asia,43.415,496.9136476
Cambodia,1967,6960067.0,Asia,45.415,523.4323142
Cambodia,1972,7450606.0,Asia,40.317,421.6240257
Cambodia,1977,6978607.0,Asia,31.22,524.9721832
Cambodia,1982,7272485.0,Asia,50.957,624.4754784
Cambodia,1987,8371791.0,Asia,53.914,683.8955732
Cambodia,1987,8371791.0,Asia,53.914,683.8955732
Cambodia,1992,10150094.0,Asia,55.803,682.3031755
Cambodia,1997,11782962.0,Asia,56.534,734.28517
Cambodia,2002,12926707.0,Asia,56.752,896.2260153
Cambodia,2007,14131858.0,Asia,59.723,1713.778686
Cambodia,2012,13577791.0,Asia,61.189,1167.246074
Cambodia,2017,14373144.0,Asia,63.197,1244.184502
Cambodia,2022,15168497.0,Asia,65.206,1321.12293
Cambodia,2025,15645709.0,Asia,66.411,1367.285986
Cameroon,1952,5009067.0,Africa,38.523,1172.667655
Cameroon,1957,5359923.0,Africa,40.428,1313.048099
Cameroon,1962,5793633.0,Africa,42.643,1399.607441
Cameroon,1967,6335506.0,Africa,44.799,1508.453148
Cameroon,1972,7021028.0,Africa,47.049,1684.146528
Cameroon,1977,7959865.0,Africa,49.355,1783.432873
Cameroon,1982,9250831.0,Africa,52.961,2367.983282
Cameroon,1987,10780667.0,Africa,54.985,2602.664206
Cameroon,1992,12467171.0,Africa,54.314,1793.163278
Cameroon,1997,14195809.0,Africa,52.199,1694.337469
Cameroon,2002,15929988.0,Africa,49.856,1934.011449
Cameroon,2007,17696293.0,Africa,50.43,2042.09524
Cameroon,2012,17469682.0,Africa,56.258,2274.160083
Cameroon,2017,18647072.0,Africa,57.509,2351.010216
Cameroon,2022,19824462.0,Africa,58.76,2427.860348
Cameroon,2025,20530896.0,Africa,59.51,2473.970427
Canada,1952,14785584.0,Americas,68.75,11367.16112
Canada,1957,17010154.0,Americas,69.96,12489.95006
Canada,1962,18985849.0,Americas,71.3,13462.48555
Canada,1967,20819767.0,Americas,72.13,16076.58803
Canada,1972,22284500.0,Americas,72.88,18970.57086
Canada,1977,23796400.0,Americas,74.21,22090.88306
Canada,1982,25201900.0,Americas,75.76,22898.79214
Canada,1987,26549700.0,Americas,76.86,26626.51503
Canada,1992,28523502.0,Americas,77.95,26342.88426
Canada,1997,30305843.0,Americas,78.61,28954.92589
Canada,2002,31902268.0,Americas,79.77,33328.96507
Canada,2007,33390141.0,Americas,80.653,36319.23501
Canada,2012,35159305.0,Americas,82.016,37082.979363
Canada,2017,36804896.0,Americas,83.11,39340.245982
Canada,2022,38450486.0,Americas,84.205,41597.5126
Canada,2025,39437840.0,Americas,84.861,42951.872572
Central African Republic,1952,1291695.0,Africa,35.463,1071.310713
Central African Republic,1957,1392284.0,Africa,37.464,1190.844328
Central African Republic,1962,1523478.0,Africa,39.475,1193.068753
Central African Republic,1967,1733638.0,Africa,41.478,1136.056615
Central African Republic,1972,1927260.0,Africa,43.457,1070.013275
Central African Republic,1977,2167533.0,Africa,46.775,1109.374338
Central African Republic,1982,2476971.0,Africa,48.295,956.7529907
Central African Republic,1987,2840009.0,Africa,50.485,844.8763504
Central African Republic,1992,3265124.0,Africa,49.396,747.9055252
Central African Republic,1997,3696513.0,Africa,46.066,740.5063317
Central African Republic,2002,4048013.0,Africa,43.308,738.6906068
Central African Republic,2007,4369038.0,Africa,44.741,706.016537
Central African Republic,2012,4462524.0,Africa,49.844,640.049607
Central African Republic,2017,4755072.0,Africa,50.763,591.01344
Central African Republic,2022,5047619.0,Africa,51.683,541.977272
Central African Republic,2025,5223148.0,Africa,52.235,512.555571
Chad,1952,2682462.0,Africa,38.092,1178.665927
Chad,1957,2894855.0,Africa,39.881,1308.495577
Chad,1962,3150417.0,Africa,41.716,1389.817618
Chad,1967,3495967.0,Africa,43.601,1196.810565
Chad,1972,3899068.0,Africa,45.569,1104.103987
Chad,1977,4388260.0,Africa,47.383,1133.98495
Chad,1982,4875118.0,Africa,49.517,797.9081006
Chad,1987,5498955.0,Africa,51.051,952.386129
Chad,1992,6429417.0,Africa,51.724,1058.0643
Chad,1997,7562011.0,Africa,51.573,1004.961353
Chad,2002,8835739.0,Africa,50.525,1156.18186
Chad,2007,10238807.0,Africa,50.651,1704.063724
Chad,2012,9588862.0,Africa,55.004,1170.671781
Chad,2017,10244186.0,Africa,56.27,1171.474567
Chad,2022,10899510.0,Africa,57.536,1172.277353
Chad,2025,11292705.0,Africa,58.296,1172.759024
Chile,1952,6377619.0,Americas,54.745,3939.978789
Chile,1957,7048426.0,Americas,56.074,4315.622723
Chile,1962,7961258.0,Americas,57.924,4519.094331
Chile,1967,8858908.0,Americas,60.523,5106.654313
Chile,1972,9717524.0,Americas,63.441,5494.024437
Chile,1977,10599793.0,Americas,67.052,4756.763836
Chile,1982,11487112.0,Americas,70.565,5095.665738
Chile,1987,12463354.0,Americas,72.492,5547.063754
Chile,1992,13572994.0,Americas,74.126,7596.125964
Chile,1997,14599929.0,Americas,75.816,10118.05318
Chile,2002,15497046.0,Americas,77.86,10778.78385
Chile,2007,16284741.0,Americas,78.553,13171.63885
Chile,2012,17209858.0,Americas,82.928,11518.170985
Chile,2017,18133571.0,Americas,85.313,12258.922037
Chile,2022,19057284.0,Americas,87.697,12999.673089
Chile,2025,19611511.0,Americas,89.127,13444.12372
China,1952,556263527.999989,Asia,44.0,400.448610699994
China,1957,637408000.0,Asia,50.54896,575.9870009
China,1962,665770000.0,Asia,44.50136,487.6740183
China,1967,754550000.0,Asia,58.38112,612.7056934
China,1972,862030000.0,Asia,63.11888,676.9000921
China,1977,943455000.0,Asia,63.96736,741.2374699
China,1982,1000281000.0,Asia,65.525,962.4213805
China,1987,1084035000.0,Asia,67.274,1378.904018
China,1992,1164970000.0,Asia,68.69,1655.784158
China,1997,1230075000.0,Asia,70.426,2289.234136
China,1997,1230075000.0,Asia,70.426,2289.234136
China,2002,1280400000.0,Asia,72.028,3119.280896
China,2002,1280400000.0,Asia,72.028,3119.280896
China,2007,1318683096.0,Asia,72.961,4959.114854
China,2007,1318683096.0,Asia,72.961,4959.114854
China,2012,1426033793.0,Asia,77.969,3921.478776
China,2017,1498217462.0,Asia,80.501,4285.703293
China,2022,1570401131.0,Asia,83.033,4649.92781
China,2025,1613711333.0,Asia,84.552,4868.462521
Colombia,1952,12350771.0,Americas,50.643,2144.115096
Colombia,1957,14485993.0,Americas,55.118,2323.805581
Colombia,1962,17009885.0,Americas,57.863,2492.351109
Colombia,1967,19764027.0,Americas,59.963,2678.729839
Colombia,1972,22542890.0,Americas,61.623,3264.660041
Colombia,1977,25094412.0,Americas,63.837,3815.80787
Colombia,1982,27764644.0,Americas,66.653,4397.575659
Colombia,1987,30964245.0,Americas,67.768,4903.2191
Colombia,1992,34202721.0,Americas,68.421,5444.648617
Colombia,1997,37657830.0,Americas,70.313,6117.361746
Colombia,2002,41008227.0,Americas,71.682,5755.259962
Colombia,2007,44227550.0,Americas,72.889,7006.580419
Colombia,2012,46210828.0,Americas,76.272,7128.804768
Colombia,2017,49126940.0,Americas,78.176,7580.10659
Colombia,2022,52043052.0,Americas,80.08,8031.408413
Colombia,2025,53792719.0,Americas,81.222,8302.189507
Comoros,1952,153936.0,Africa,40.715,1102.990936
Comoros,1957,170928.0,Africa,42.46,1211.148548
Comoros,1962,191689.0,Africa,44.467,1406.648278
Comoros,1967,217378.0,Africa,46.472,1876.029643
Comoros,1972,250027.0,Africa,48.944,1937.577675
Comoros,1977,304739.0,Africa,50.939,1172.603047
Comoros,1982,348643.0,Africa,52.933,1267.100083
Comoros,1987,395114.0,Africa,54.926,1315.980812
Comoros,1992,454429.0,Africa,57.939,1246.90737
Comoros,1997,527982.0,Africa,60.66,1173.618235
Comoros,2002,614382.0,Africa,62.974,1075.811558
Comoros,2007,710960.0,Africa,65.152,986.1478792
Comoros,2012,682975.0,Africa,67.019,1108.688935
Comoros,2017,732404.0,Africa,69.271,1077.044104
Comoros,2022,781834.0,Africa,71.523,1045.399273
Comoros,2025,811491.0,Africa,72.875,1026.412374
Congo Dem. Rep.,1952,14100005.0,Africa,39.143,780.5423257
Congo Dem. Rep.,1957,15577932.0,Africa,40.652,905.8602303
Congo Dem. Rep.,1962,17486434.0,Africa,42.122,896.3146335
Congo Dem. Rep.,1967,19941073.0,Africa,44.056,861.5932424
Congo Dem. Rep.,1972,23007669.0,Africa,45.989,904.8960685
Congo Dem. Rep.,1977,26480870.0,Africa,47.804,795.757282
Congo Dem. Rep.,1982,30646495.0,Africa,47.784,673.7478181
Congo Dem. Rep.,1987,35481645.0,Africa,47.412,672.774812
Congo Dem. Rep.,1992,41672143.0,Africa,45.548,457.7191807
Congo Dem. Rep.,1997,47798986.0,Africa,42.587,312.188423
Congo Dem. Rep.,2002,55379852.0,Africa,44.966,241.1658765
Congo Dem. Rep.,2007,64606759.0,Africa,46.462,277.5518587
Congo Dem. Rep.,2012,61686708.0,Africa,47.596,229.211479
Congo Dem. Rep.,2017,66149024.0,Africa,48.066,164.729761
Congo Dem. Rep.,2022,70611340.0,Africa,48.535,100.248043
Congo Dem. Rep.,2025,73288729.0,Africa,48.817,61.559013
Congo Rep.,1952,854885.0,Africa,42.111,2125.621418
Congo Rep.,1957,940458.0,Africa,45.053,2315.056572
Congo Rep.,1962,1047924.0,Africa,48.435,2464.783157
Congo Rep.,1967,1179760.0,Africa,52.04,2677.939642
Congo Rep.,1972,1340458.0,Africa,54.907,3213.152683
Congo Rep.,1977,1536769.0,Africa,55.625,3259.178978
Congo Rep.,1982,1774735.0,Africa,56.695,4879.507522
Congo Rep.,1987,2064095.0,Africa,57.47,4201.194937
Congo Rep.,1992,2409073.0,Africa,56.433,4016.239529
Congo Rep.,1997,2800947.0,Africa,52.962,3484.164376
Congo Rep.,2002,3328795.0,Africa,52.97,3484.06197
Congo Rep.,2007,3800610.0,Africa,55.322,3632.557798
Congo Rep.,2012,3621495.0,Africa,58.843,4347.083034
Congo Rep.,2017,3882770.0,Africa,59.818,4506.205314
Congo Rep.,2022,4144045.0,Africa,60.793,4665.327594
Congo Rep.,2025,4300810.0,Africa,61.379,4760.800962
Costa Rica,1952,926317.0,Americas,57.206,2627.009471
Costa Rica,1957,1112300.0,Americas,60.026,2990.010802
Costa Rica,1962,1345187.0,Americas,62.842,3460.937025
Costa Rica,1967,1588717.0,Americas,65.424,4161.727834
Costa Rica,1972,1834796.0,Americas,67.849,5118.146939
Costa Rica,1977,2108457.0,Americas,70.75,5926.876967
Costa Rica,1982,2424367.0,Americas,73.45,5262.734751
Costa Rica,1987,2799811.0,Americas,74.752,5629.915318
Costa Rica,1992,3173216.0,Americas,75.713,6160.416317
Costa Rica,1997,3518107.0,Americas,77.26,6677.045314
