country;year;pop;continent;lifeExp;gdpPercap;code;child_mortality;co2_share;daily_protein_consumption;literacy_rate
Bangladesh;1972;70759295.0;Asia;45.252;630.2336265;BGD;221.6;0.0094;41.98;
Bangladesh;1977;80428306.0;Asia;46.923;659.8772322;BGD;210.7;0.0126;41.96;
Bangladesh;1982;93074406.0;Asia;50.009;676.9818656;BGD;189.0;0.0165;43.97;
Bangladesh;1987;103764241.0;Asia;52.819;751.9794035;BGD;161.7;0.0211;45.59;
Bangladesh;1992;113704579.0;Asia;56.018;837.8101643;BGD;131.7;0.0274;44.85;
Bangladesh;1997;123315288.0;Asia;59.412;972.7700352;BGD;103.2;0.0353;44.82;
Bangladesh;2002;135656790.0;Asia;62.013;1136.39043;BGD;79.2;0.0443;50.91;
Bangladesh;2007;150448339.0;Asia;64.062;1391.253792;BGD;59.3;0.0552;53.77;
Belgium;1952;8730405.0;Europe;68.0;8343.105127;BEL;51.25;1.9975;;
Belgium;1957;8989111.0;Europe;69.24;9714.960623;BEL;40.1;1.9022;;
Belgium;1962;9218400.0;Europe;70.25;10991.20676;BEL;31.1;1.7748;87.92;
Belgium;1967;9556500.0;Europe;70.94;13149.04119;BEL;26.2;1.647;90.19;
Belgium;1972;9709100.0;Europe;71.44;16672.14356;BEL;21.9;1.5186;94.04;
Belgium;1977;9821800.0;Europe;72.8;19117.97448;BEL;16.7;1.3959;98.87;
Belgium;1982;9856303.0;Europe;73.93;20979.84589;BEL;13.3;1.2902;102.84;
Belgium;1987;9870200.0;Europe;75.35;22525.56308;BEL;11.0;1.187;102.59;
Belgium;1992;10045622.0;Europe;76.46;25575.57069;BEL;9.2;1.0997;107.14;
Belgium;1997;10199787.0;Europe;77.53;27561.19663;BEL;6.7;1.0333;102.31;
Belgium;2002;10311970.0;Europe;78.32;30485.88375;BEL;5.4;0.9746;100.64;
Belgium;2007;10392226.0;Europe;79.441;33692.60508;BEL;4.8;0.9104;101.18;
Benin;1952;1738315.0;Africa;38.223;1062.7522;BEN;339.5;0.0;;
Benin;1957;1925173.0;Africa;40.358;959.6010805;BEN;330.7;0.0;;
Benin;1962;2151895.0;Africa;42.618;949.4990641;BEN;310.0;0.0002;41.68;
Benin;1967;2427334.0;Africa;44.885;1035.831411;BEN;275.1;0.0003;44.7;
Benin;1972;2761407.0;Africa;47.014;1085.796879;BEN;260.3;0.0006;42.28;
Benin;1977;3168267.0;Africa;49.19;1029.161251;BEN;228.1;0.0008;43.48;
Benin;1982;3641603.0;Africa;50.904;1277.897616;BEN;208.5;0.001;42.27;
Benin;1987;4243788.0;Africa;52.337;1225.85601;BEN;192.2;0.0013;46.1;
Benin;1992;4981671.0;Africa;53.919;1191.207681;BEN;168.9;0.0015;51.85;27.245251
Benin;1997;6066080.0;Africa;54.777;1232.975292;BEN;153.3;0.002;53.04;
Benin;2002;7026113.0;Africa;54.406;1372.877931;BEN;136.7;0.0025;59.35;34.657848
Benin;2007;8078314.0;Africa;56.728;1441.284873;BEN;107.6;0.0034;60.06;
Bolivia;1952;2883315.0;Americas;40.414;2677.326347;BOL;313.6546666666667;0.0015;;
Bolivia;1957;3211738.0;Americas;41.89;2127.686326;BOL;304.058;0.0028;;
Bolivia;1962;3593918.0;Americas;43.428;2180.972546;BOL;284.5;0.004;47.21;
Bolivia;1967;4040665.0;Americas;45.032;2586.886053;BOL;251.0;0.0054;48.37;
Bolivia;1972;4565872.0;Americas;46.714;2980.331339;BOL;218.4;0.0076;50.93;60.0
Bolivia;1977;5079716.0;Americas;50.023;3548.097832;BOL;186.0;0.0101;52.26;
Bolivia;1982;5642224.0;Americas;53.859;3156.510452;BOL;161.0;0.0123;52.6;
Bolivia;1987;6156369.0;Americas;57.251;2753.69149;BOL;137.4;0.0133;54.2;
Bolivia;1992;6893451.0;Americas;59.957;2961.699694;BOL;113.5;0.0149;52.67;79.991768
Bolivia;1997;7693188.0;Americas;62.05;3326.143191;BOL;91.1;0.0179;54.0;
Bolivia;2002;8445134.0;Americas;63.883;3413.26269;BOL;68.8;0.0206;56.63;
Bolivia;2007;9119152.0;Americas;65.554;3822.137084;BOL;51.1;0.0232;63.28;90.743469
Bolivia;1987;6156369.0;Americas;57.251;2753.69149;BOL;137.4;0.0133;54.2;
Bolivia;1992;6893451.0;Americas;59.957;2961.699694;BOL;113.5;0.0149;52.67;79.991768
Bolivia;1997;7693188.0;Americas;62.05;3326.143191;BOL;91.1;0.0179;54.0;
Bolivia;2002;8445134.0;Americas;63.883;3413.26269;BOL;68.8;0.0206;56.63;
Bolivia;2007;9119152.0;Americas;65.554;3822.137084;BOL;51.1;0.0232;63.28;90.743469
Bosnia and Herzegovina;1952;2791000.0;Europe;53.82;973.5331948;BIH;180.526;0.0;;
Bosnia and Herzegovina;1957;3076000.0;Europe;58.45;1353.989176;BIH;166.766;0.0;;
Bosnia and Herzegovina;1962;3349000.0;Europe;61.93;1709.683679;BIH;143.052;0.0065;;
Bosnia and Herzegovina;1967;3585000.0;Europe;64.79;2172.352423;BIH;104.407;0.0148;;
Bosnia and Herzegovina;1972;3819000.0;Europe;67.45;2860.16975;BIH;73.40153846153846;0.0231;;
Bosnia and Herzegovina;1977;4086000.0;Europe;69.86;3528.481305;BIH;53.855384615384615;0.0317;;
Bosnia and Herzegovina;1982;4172693.0;Europe;70.69;4126.613157;BIH;34.309230769230766;0.0397;;
Bosnia and Herzegovina;1987;4338977.0;Europe;71.14;4314.114757;BIH;23.0;0.047;;
Bosnia and Herzegovina;1992;4256013.0;Europe;72.178;2546.781445;BIH;16.0;0.0514;68.31;
Bosnia and Herzegovina;1997;3607000.0;Europe;73.244;4766.355904;BIH;11.6;0.0486;89.99;
Bosnia and Herzegovina;2002;4165416.0;Europe;74.09;6018.9752397;BIH;8.3;0.0488;82.81;
Belgium;2007;10392226.0;Europe;79.441;33692.60508;BEL;4.8;0.9104;101.18;
Bosnia and Herzegovina;2007;4552198.0;Europe;74.852;7446.298803;BIH;8.2;0.0496;88.47;
Botswana;1952;442308.0;Africa;47.622;851.2411407;BWA;237.94400000000002;0.0;;
Botswana;1957;474639.0;Africa;49.618;918.2325349;BWA;188.0;0.0;;
Botswana;1962;512764.0;Africa;51.52;983.6539764;BWA;159.5;0.0;67.64;
Botswana;1967;553541.0;Africa;53.298;1214.709294;BWA;135.3;0.0;69.53;
Botswana;1972;619351.0;Africa;56.024;2263.611114;BWA;111.5;0.0;76.76;
Botswana;1977;781472.0;Africa;59.319;3214.857818;BWA;86.4;0.0003;66.75;
Botswana;1982;970347.0;Africa;61.484;4551.14215;BWA;65.7;0.001;60.98;
Botswana;1987;1151184.0;Africa;63.622;6205.88385;BWA;52.2;0.0016;63.71;
Botswana;1992;1342614.0;Africa;62.745;7954.111645;BWA;52.2;0.0027;68.25;
Botswana;1997;1536536.0;Africa;52.556;8647.142313;BWA;73.5;0.0039;66.08;
Botswana;2002;1630347.0;Africa;46.634;11003.60508;BWA;85.5;0.0051;66.38;
Botswana;2007;1639131.0;Africa;50.728;12569.85177;BWA;58.2;0.0062;57.35;
Brazil;1952;56602560.0;Americas;50.917;2108.944355;BRA;222.153;0.1236;;
Brazil;1957;65551171.0;Americas;53.285;2487.365989;BRA;190.1;0.1654;;
Brazil;1962;76039390.0;Americas;55.665;3336.585802;BRA;162.3;0.212;57.08;
Brazil;1967;88049823.0;Americas;57.632;3429.864357;BRA;142.3;0.2582;62.25;
Brazil;1972;100840058.0;Americas;59.504;4985.711467;BRA;125.3;0.3201;60.34;
Brazil;1977;114313951.0;Americas;61.489;6660.118654;BRA;108.0;0.4055;60.14;
Brazil;1982;128962939.0;Americas;63.336;7030.835878;BRA;87.0;0.4846;63.4;
Brazil;1987;142938076.0;Americas;65.205;7807.095818;BRA;69.6;0.5439;65.42;
Brazil;1992;155975974.0;Americas;67.057;6950.283021;BRA;56.1;0.5982;68.3;
Brazil;1997;168546719.0;Americas;69.388;7957.980824;BRA;41.0;0.6618;76.69;
Brazil;2002;179914212.0;Americas;71.006;8131.212843;BRA;28.4;0.735;81.33;
Brazil;2007;190010647.0;Americas;72.39;9065.800825;BRA;20.0;0.7855;85.27;90.009369
Bulgaria;1952;7274900.0;Europe;59.6;2444.286648;BGR;156.13;0.0561;;
Bulgaria;1957;7651254.0;Europe;66.61;3008.670727;BGR;100.1;0.0708;;
Bulgaria;1962;8012946.0;Europe;69.51;4254.337839;BGR;53.12;0.0959;90.29;
Bulgaria;1967;8310226.0;Europe;70.42;5577.0028;BGR;43.7;0.1408;96.81;
Bulgaria;1972;8576200.0;Europe;70.9;6597.494398;BGR;36.3;0.1877;97.61;
Bulgaria;1977;8797022.0;Europe;70.81;7612.240438;BGR;32.5;0.2243;100.35;
Bulgaria;1982;8892098.0;Europe;71.08;8224.191647;BGR;26.6;0.2547;105.68;
Bulgaria;1987;8971958.0;Europe;71.34;8239.854824;BGR;21.8;0.2814;110.23;
Bulgaria;1992;8658506.0;Europe;71.19;6302.623438;BGR;22.9;0.2882;86.52;
Bulgaria;1997;8066057.0;Europe;70.32;5970.38876;BGR;23.1;0.2832;82.36;
Bulgaria;2002;7661799.0;Europe;72.14;7696.777725;BGR;19.1;0.2731;81.87;
Bulgaria;2007;7322858.0;Europe;73.005;10680.79282;BGR;14.3;0.2618;76.13;
Burkina Faso;1952;4469979.0;Africa;31.975;543.2552413;BFA;382.3;0.0;;
Burkina Faso;1957;4713416.0;Africa;34.906;617.1834648;BFA;364.5;0.0;;
Burkina Faso;1962;4919632.0;Africa;37.814;722.5120206;BFA;342.0;0.0001;41.08;
Burkina Faso;1967;5127935.0;Africa;40.697;794.8265597;BFA;327.1;0.0002;49.38;
Burkina Faso;1972;5433886.0;Africa;43.591;854.7359763;BFA;314.9;0.0003;44.75;
Burkina Faso;1977;5889574.0;Africa;46.137;743.3870368;BFA;267.1;0.0005;42.25;
Burkina Faso;1982;6634596.0;Africa;48.122;807.1985855;BFA;231.8;0.0007;48.64;
Burkina Faso;1987;7586551.0;Africa;49.557;912.0631417;BFA;209.7;0.001;59.94;
Burkina Faso;1987;7586551.0;Africa;49.557;912.0631417;BFA;209.7;0.001;59.94;
Burkina Faso;1992;8878303.0;Africa;50.26;931.7527731;BFA;201.9;0.0012;68.83;
Burkina Faso;1997;10352843.0;Africa;50.324;946.2949618;BFA;194.3;0.0014;67.08;
Burkina Faso;2002;12251209.0;Africa;50.65;1037.645221;BFA;178.5;0.0017;70.88;
Burkina Faso;2007;14326203.0;Africa;52.295;1217.032994;BFA;140.4;0.002;76.37;28.72921
Burundi;1952;2445618.0;Africa;39.031;339.2964587;BDI;297.27;0.0;;
Burundi;1957;2667518.0;Africa;40.533;379.5646281;BDI;263.72;0.0;;
Burundi;1962;2961915.0;Africa;42.045;355.2032273;BDI;247.5;0.0001;;
Burundi;1967;3330989.0;Africa;43.548;412.9775136;BDI;247.2;0.0001;;
Burundi;1972;3529983.0;Africa;44.057;464.0995039;BDI;247.6;0.0002;;
Burundi;1977;3834415.0;Africa;45.91;556.1032651;BDI;242.7;0.0002;;
Burundi;1982;4580410.0;Africa;47.471;559.603231;BDI;202.6;0.0003;;
Burundi;1987;5126023.0;Africa;48.211;621.8188189;BDI;170.2;0.0004;;
Burundi;1992;5809236.0;Africa;44.736;631.6998778;BDI;172.5;0.0005;;
Burundi;1997;6121610.0;Africa;45.326;463.1151478;BDI;163.1;0.0006;;
Burundi;2002;7021078.0;Africa;47.36;446.4035126;BDI;137.8;0.0006;;
Burundi;2007;8390505.0;Africa;49.58;430.0706916;BDI;107.9;0.0006;;
Cambodia;1952;4693836.0;Asia;39.417;368.4692856;KHM;283.02;0.0;;
Cambodia;1957;5322536.0;Asia;41.366;434.0383364;KHM;267.23;0.0001;;
Cambodia;1962;6083619.0;Asia;43.415;496.9136476;KHM;247.43;0.0005;41.04;
Cambodia;1967;6960067.0;Asia;45.415;523.4323142;KHM;230.064;0.001;44.2;
Cambodia;1972;7450606.0;Asia;40.317;421.6240257;KHM;258.6;0.0015;47.66;
Cambodia;1977;6978607.0;Asia;31.22;524.9721832;KHM;268.8;0.0014;37.18;
Cambodia;1982;7272485.0;Asia;50.957;624.4754784;KHM;143.3;0.0013;43.28;
Cambodia;1987;8371791.0;Asia;53.914;683.8955732;KHM;118.8;0.0014;46.18;
Cambodia;1987;8371791.0;Asia;53.914;683.8955732;KHM;118.8;0.0014;46.18;
Cambodia;1992;10150094.0;Asia;55.803;682.3031755;KHM;118.2;0.0018;46.69;
Cambodia;1997;11782962.0;Asia;56.534;734.28517;KHM;123.6;0.0024;42.84;
Cambodia;2002;12926707.0;Asia;56.752;896.2260153;KHM;89.7;0.003;54.78;
Cambodia;2007;14131858.0;Asia;59.723;1713.778686;KHM;53.4;0.0038;61.39;
Cameroon;1952;5009067.0;Africa;38.523;1172.667655;CMR;367.31;0.0002;;
Cameroon;1957;5359923.0;Africa;40.428;1313.048099;CMR;309.4;0.0006;;
Cameroon;1962;5793633.0;Africa;42.643;1399.607441;CMR;269.7;0.001;53.46;
Cameroon;1967;6335506.0;Africa;44.799;1508.453148;CMR;240.8;0.0013;51.69;
Cameroon;1972;7021028.0;Africa;47.049;1684.146528;CMR;197.4;0.0018;59.2;
Cameroon;1977;7959865.0;Africa;49.355;1783.432873;CMR;189.9;0.0026;58.06;
Cameroon;1982;9250831.0;Africa;52.961;2367.983282;CMR;169.9;0.0052;54.29;
Cameroon;1987;10780667.0;Africa;54.985;2602.664206;CMR;140.1;0.0076;48.4;
Cameroon;1992;12467171.0;Africa;54.314;1793.163278;CMR;141.0;0.0085;50.82;
Cameroon;1997;14195809.0;Africa;52.199;1694.337469;CMR;155.0;0.0095;51.18;
Cameroon;2002;15929988.0;Africa;49.856;1934.011449;CMR;141.2;0.0099;56.12;
Cameroon;2007;17696293.0;Africa;50.43;2042.09524;CMR;117.1;0.0104;63.47;70.679939
Canada;1952;14785584.0;Americas;68.75;11367.16112;CAN;43.9;1.9783;;
Canada;1957;17010154.0;Americas;69.96;12489.95006;CAN;35.8;2.0327;;
Canada;1962;18985849.0;Americas;71.3;13462.48555;CAN;30.5;2.041;90.47;
Canada;1967;20819767.0;Americas;72.13;16076.58803;CAN;25.0;2.0598;93.84;
Canada;1972;22284500.0;Americas;72.88;18970.57086;CAN;19.9;2.0986;93.04;
Canada;1977;23796400.0;Americas;74.21;22090.88306;CAN;15.1;2.1267;97.74;
Canada;1982;25201900.0;Americas;75.76;22898.79214;CAN;11.2;2.1462;95.82;
Canada;1987;26549700.0;Americas;76.86;26626.51503;CAN;9.1;2.142;98.45;
Canada;1992;28523502.0;Americas;77.95;26342.88426;CAN;7.7;2.1344;95.94;
Canada;1997;30305843.0;Americas;78.61;28954.92589;CAN;6.5;2.137;100.54;
Canada;2002;31902268.0;Americas;79.77;33328.96507;CAN;6.2;2.1519;105.25;
Canada;2007;33390141.0;Americas;80.653;36319.23501;CAN;5.9;2.1344;104.39;
Central African Republic;1952;1291695.0;Africa;35.463;1071.310713;CAF;341.623;0.0;;
Central African Republic;1957;1392284.0;Africa;37.464;1190.844328;CAF;291.178;0.0;;
Central African Republic;1962;1523478.0;Africa;39.475;1193.068753;CAF;257.4;0.0001;34.71;
Central African Republic;1967;1733638.0;Africa;41.478;1136.056615;CAF;230.9;0.0002;35.22;
Central African Republic;1972;1927260.0;Africa;43.457;1070.013275;CAF;208.3;0.0004;34.67;
Central African Republic;1977;2167533.0;Africa;46.775;1109.374338;CAF;192.4;0.0004;36.61;
Central African Republic;1982;2476971.0;Africa;48.295;956.7529907;CAF;181.6;0.0005;38.09;
Central African Republic;1987;2840009.0;Africa;50.485;844.8763504;CAF;178.3;0.0005;39.0;
Central African Republic;1992;3265124.0;Africa;49.396;747.9055252;CAF;175.9;0.0006;41.41;
Central African Republic;1997;3696513.0;Africa;46.066;740.5063317;CAF;174.9;0.0006;42.18;
Central African Republic;2002;4048013.0;Africa;43.308;738.6906068;CAF;172.8;0.0007;48.05;
Central African Republic;2007;4369038.0;Africa;44.741;706.016537;CAF;164.1;0.0007;50.49;
Chad;1952;2682462.0;Africa;38.092;1178.665927;TCD;326.33;0.0;;
Chad;1957;2894855.0;Africa;39.881;1308.495577;TCD;302.59;0.0;;
Chad;1962;3150417.0;Africa;41.716;1389.817618;TCD;285.922;0.0001;75.75;
Chad;1967;3495967.0;Africa;43.601;1196.810565;TCD;278.692;0.0002;71.08;
Chad;1972;3899068.0;Africa;45.569;1104.103987;TCD;265.1;0.0003;57.06;
Chad;1977;4388260.0;Africa;47.383;1133.98495;TCD;250.2;0.0004;51.48;
Chad;1982;4875118.0;Africa;49.517;797.9081006;TCD;237.1;0.0005;48.32;
Chad;1987;5498955.0;Africa;51.051;952.386129;TCD;222.9;0.0006;46.77;
Chad;1992;6429417.0;Africa;51.724;1058.0643;TCD;209.6;0.0006;55.74;
Chad;1997;7562011.0;Africa;51.573;1004.961353;TCD;198.3;0.0006;57.91;
Chad;2002;8835739.0;Africa;50.525;1156.18186;TCD;185.3;0.0006;62.36;
Chad;2007;10238807.0;Africa;50.651;1704.063724;TCD;172.4;0.0007;60.89;
Chile;1952;6377619.0;Americas;54.745;3939.978789;CHL;220.65;0.0917;;
Chile;1957;7048426.0;Americas;56.074;4315.622723;CHL;183.32666666666668;0.1001;;
Chile;1962;7961258.0;Americas;57.924;4519.094331;CHL;142.0;0.1074;66.15;
Chile;1967;8858908.0;Americas;60.523;5106.654313;CHL;94.1;0.115;69.61;
Chile;1972;9717524.0;Americas;63.441;5494.024437;CHL;76.9;0.1237;70.97;
Chile;1977;10599793.0;Americas;67.052;4756.763836;CHL;48.9;0.1266;66.59;
Chile;1982;11487112.0;Americas;70.565;5095.665738;CHL;27.1;0.1262;70.2;91.128403
Chile;1987;12463354.0;Americas;72.492;5547.063754;CHL;21.9;0.124;65.62;
Chile;1992;13572994.0;Americas;74.126;7596.125964;CHL;16.4;0.1261;72.94;94.291138
Chile;1997;14599929.0;Americas;75.816;10118.05318;CHL;12.2;0.1334;78.24;
Chile;2002;15497046.0;Americas;77.86;10778.78385;CHL;9.8;0.1443;81.07;95.716621
Chile;2007;16284741.0;Americas;78.553;13171.63885;CHL;8.9;0.1524;85.6;
China;1952;556263527.999989;Asia;44.0;400.448610699994;CHN;306.662;0.861;;
China;1957;637408000.0;Asia;50.54896;575.9870009;CHN;252.53333333333333;1.0925;;
China;1962;665770000.0;Asia;44.50136;487.6740183;CHN;167.82;1.8633;42.88;
China;1967;754550000.0;Asia;58.38112;612.7056934;CHN;126.67666666666668;2.1847;47.4;
